name,title,content,tag
Albert Einstein,Theoretical Physicist,Imagination is more important than knowledge.,inspiration
Albert Einstein,Theoretical Physicist,Life is like riding a bicycle. To keep your balance you must keep moving.,life
Isaac Newton,Mathematician and Physicist,If I have seen further it is by standing on the shoulders of giants.,knowledge
Isaac Newton,Mathematician and Physicist,What we know is a drop, what we don't know is an ocean.,wisdom
Marilyn Monroe,Actress,Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.,self-love
Marilyn Monroe,Actress,Give a girl the right shoes, and she can conquer the world.,confidence
Steve Jobs,Entrepreneur,The only way to do great work is to love what you do.,work
Steve Jobs,Entrepreneur,Innovation distinguishes between a leader and a follower.,innovation
Nelson Mandela,President of South Africa,It always seems impossible until it's done.,perseverance
Nelson Mandela,President of South Africa,Education is the most powerful weapon which you can use to change the world.,education
