https://www.youtube.com/watch?v=LWhzgqFpxDs
A National Park's Frigid Winter (Full Episode) | Wild Yellowstone | Nat Geo Animals
Nature

14s	One wolf pack.
19s	One leader.
23s	One place.
27s	And one focus...
38s	Survive.
45s	This is Yellowstone as you've never seen it.
53s	Living here is not easy.
1:02	And winter strikes the hardest.
1:06	A season of punishing extremes,
1:09	where everyone must fight for their life.
1:19	Yellowstone's winter is the ultimate test.
1:44	The wolves of Greater Yellowstone are on the hunt.
1:50	This is the Dark Wolf's first winter as leader.
1:55	Her mate was killed.
1:58	Now she's in charge.
2:01	The pack is young.
2:03	Dark Wolf must teach them how to hunt as a team.
2:09	Or they won't live through winter.
2:16	Their first lesson--
2:18	how to take down an elk five times your size.
2:30	The wolves' only chance is to work together.
2:42	But the pack doesn't keep up.
2:51	One good kick could crush her skull.
3:03	Hunting big game alone is futile.
3:12	She must teach the pack to work together,
3:16	or they won't last.
3:21	In winter everyone needs a strategy to survive.
3:30	For some, preparation began months ago.
3:42	October.
3:44	In just a few weeks, this beaver pond will freeze solid.
3:52	The devoted parents who live here must be ready.
4:00	Lives depend on it.
4:05	Inside the beaver's lodge are four young kits.
4:11	Each one eats its weight every week.
4:20	So mom and dad must stockpile six months of sticks,
4:25	or their children will starve.
4:31	No time to lose.
4:48	It takes nearly 100 trees to feed the family through winter.
4:54	That's a ton of wood.
5:12	The icy water keeps their produce fresh for months.
5:20	Today, Dad's in charge of lodge maintenance.
5:27	To keep out the draft he seals any holes with mud.
5:33	No self-respecting beaver dad has a leaky roof.
5:40	Mud, moss and sticks all make perfect insulation.
5:49	A well-made lodge can be 100 degrees warmer inside than out.
5:57	And it's ready just in time.
6:03	Yellowstone's winter strikes without warning.
6:38	As temperatures plummet, tensions rise.
6:43	It triggers Yellowstone's ultimate fight club--
6:48	the bighorn sheep rut.
6:55	Every big, testosterone-raging ram
6:58	considers himself a contender.
7:04	The arena--a coliseum of 800-foot-high cliffs.
7:14	Their feet are built to grip the rock.
7:18	But sheep do fall.
7:24	The last ram standing gets to mate.
8:09	This big, old ram is reigning champ.
8:13	But his trials have just begun.
8:17	Each ewe is only receptive for two days a year.
8:23	He smells carefully to see if they're ready.
8:36	But the ewe's powerful scent draws a crowd...
8:41	transfixes them.
8:51	Call it obsession.
9:04	As the testosterone peaks, so does the aggression.
9:11	The champ must constantly show who's in charge.
9:17	Intimidation is key.
9:26	Smaller rams know when to walk away.
9:37	Low blows are fair game.
9:43	But the old champ's trials have just begun.
9:52	This huge, young brawler wants a shot at the title.
10:00	And he won't leave without a fight.
10:04	The main event.
10:05	Challenger versus champion.
10:08	Winner takes all.
10:17	The reigning ram and his heavyweight challenger
10:20	size each other up.
10:26	The ewes await their champion.
10:52	Their massive horns are used as both weapon and shield.
10:59	They weigh up to 30 pounds,
11:03	as much as all the bones in their body combined.
11:15	A massive tendon keeps their head on their shoulders.
11:21	Two layers of skull bone absorb each collision.
11:36	The force of this impact could kill a human instantly.
12:23	It's too much for the old ram.
12:26	He has no fight left.
12:33	There's a new champion in the herd.
12:51	At two miles high,
12:54	these mountains shape Yellowstone's weather.
12:59	They surround the park.
13:02	They sit at the end of a 500-mile corridor,
13:06	forged by Yellowstone's super-volcano.
13:11	This corridor is also a weather expressway,
13:15	funneling moist Pacific air straight to Yellowstone.
13:21	When this moisture collides with the mountains
13:24	it turns to massive amounts of snow.
13:58	But there are some who use snow to their advantage.
14:20	The red fox is built for winter.
14:33	At only ten pounds, he doesn't break the snow's surface.
14:53	So he can search far and wide for prey.
14:58	But how do you find what you cannot see?
15:07	His solution--big ears.
15:14	The catch?
15:16	His victims are under two feet of snow.
15:24	But he can pinpoint the faintest sound.
15:51	The fox locks onto a target.
15:59	A meadow vole.
16:06	But what now?
16:15	If he digs, the vole will flee.
16:22	Instead, he flies.
16:47	Neither one will give up.
17:19	Just a small bite.
17:22	But in winter, every calorie counts.
17:33	The Dark Wolf has her pack on the move.
17:37	30 miles and counting.
17:41	And still no big meals.
17:45	The younger wolves still have much to learn.
17:50	Most days are spent searching for a lead.
17:56	A wolf's nose is a hundred times more sensitive than a human's.
18:04	The faintest scent tells them who was here and when.
18:17	The Dark Wolf picks up a promising trail.
18:21	Droplets of blood from an injured elk.
18:27	This could feed her pack for several days.
18:40	Since wolves returned 20 years ago,
18:44	elk have learned to avoid them.
18:50	The herd splits up when wolves appear.
18:53	They hide under the cover of forest.
19:01	The wolves know he's here.
19:04	Somewhere.
19:07	You can't hide blood from a nose this good.
19:13	The hunt is on.
19:29	The wolves must work together.
19:35	Even a wounded elk puts up a fight.
19:46	They take turns leading the chase,
19:49	looking for weakness.
20:05	The elk makes a clever move.
20:08	The stream buys him some time.
20:15	The inexperienced youngsters await the Dark Wolf's move.
20:22	But the pack has lost the advantage.
20:28	And they know it.
20:32	Another failed hunt.
20:39	Another hungry night ahead.
20:47	By now most of Greater Yellowstone's 600 grizzly bears
20:51	are hibernating high in the mountains.
20:56	But this huge male is still awake, and for good reason.
21:03	Fresh bison meat.
21:11	But even the mighty grizzly takes cover
21:14	as winter closes in.
21:34	Surviving winter's wrath means knowing where to look for food.
21:41	Open water is a great place to start.
21:50	This bobcat is hunting waterbirds.
21:55	A crafty ambush predator.
21:59	Silent...
22:01	Patient...
22:08	And always on the prowl.
22:13	Her latest kill is a huge trumpeter swan.
22:21	She must defend it against her mortal enemy...
22:27	The coyote.
22:46	A feather is all he can get.
22:50	Score one for the cats.
22:56	The coyote needs a softer target.
22:59	One that he can steal from, or better yet, kill.
23:17	While some suffer Yellowstone's early winter,
23:21	river otters are in their element.
23:58	But the fun is coming to an end
24:00	for this mother and her nine-month-old pup.
24:05	Their home on the Yellowstone River is freezing up.
24:10	But it's not frozen yet,
24:13	so they'll feed here while they can.
24:22	The pup is still learning to fish.
24:26	It's easier just to steal Mom's.
24:35	But he must learn to fend for himself.
24:41	Soon she'll send him on his way.
24:45	And there are many dangers in Yellowstone's winter.
24:57	A starving coyote will eagerly kill and eat a young otter.
25:07	The coyote is ready to attack.
25:11	The otter's only chance is in the water.
25:21	The coyote is patient, looking for a chance to strike.
25:36	He can swim,
25:40	but not like an otter.
25:42	Mom and her pup are safe, for now.
25:51	But Yellowstone won't let them off that easy.
